Subject: OKS001,,,,,,,,,,
,,,,,,,,,,
Section,Subject,Tissue,Label,Voxels,Vol (cm³),mua (mm^-1),Mean Fluence Rate (mW/cm²),Max Fluence Rate (mW/cm²),Absorbed Power (mW),% of Total Absorbed
Dose,OKS003,Adipose,1.69E-01,0.0507,0.1014,0.1521,,,,
Dose,OKS003,Skin,5.21E-02,0.0156,0.0312,0.0468,,,,
,,,,,,,,,,
----------------------------------------,,,,,,,,,,
,,,,,,,,,,
Subject: OKS004,,,,,,,,,,
,,,,,,,,,,
Section,Subject,Tissue,Label,Voxels,Vol (cm³),mua (mm^-1),Mean Fluence Rate (mW/cm²),Max Fluence Rate (mW/cm²),Absorbed Power (mW),% of Total Absorbed
Layer,OKS004,femur-bone,1,140860,140.86,0.013,1.72E+00,3.19E+03,31.409885,31.184
Layer,OKS004,tibia-bone,2,96549,96.549,0.013,7.59E-02,5.24E+00,0.95312,0.9463
Layer,OKS004,fibula-bone,3,8555,8.555,0.013,6.15E-03,1.77E-01,0.006836,0.0068
Layer,OKS004,patella-bone,4,13376,13.376,0.013,1.79E-01,2.71E+00,0.310463,0.3082
Layer,OKS004,lm-men,5,1303,1.303,0.006,1.65E+00,9.76E+00,0.129366,0.1284
Layer,OKS004,mm-men,6,2027,2.027,0.006,2.42E-01,1.82E+00,0.029453,0.0292
Layer,OKS004,fc-cart,7,7483,7.483,0.005,5.29E+00,1.29E+03,1.979256,1.965
Layer,OKS004,ltc-cart,8,841,0.841,0.005,2.96E+00,7.99E+00,0.124303,0.1234
Layer,OKS004,mtc-cart,9,467,0.467,0.005,1.50E-01,6.12E-01,0.003505,0.0035
Layer,OKS004,pat-cart,10,4735,4.735,0.005,1.61E-01,1.44E+00,0.038217,0.0379
Layer,OKS004,muscle,11,433601,433.601,0.018,7.97E-01,1.04E+03,62.239361,61.7918
Layer,OKS004,adipose,12,255753,255.753,0.0057,2.10E-01,2.37E+01,3.063739,3.0417
Layer,OKS004,skin,13,92356,92.356,0.0046,6.49E-02,6.50E+00,0.275578,0.2736
Layer,OKS004,synovial,14,24129,24.129,0.0002,3.34E+00,1.50E+03,0.161162,0.16
,,,,,,,,,,
Section,Subject,Group,Total Voxels,Total Vol (cm³),Mean Fluence Rate (mW/cm²),Max Fluence Rate (mW/cm²),Absorbed Power (mW),% of Total Absorbed,,
Group,OKS004,Bone,259340,259.34,9.69E-01,3.19E+03,32.680305,32.4453,,
Group,OKS004,Cartilage,13526,13.526,3.17E+00,1.29E+03,2.145281,2.1299,,
Group,OKS004,Meniscus,3330,3.33,7.95E-01,9.76E+00,0.158819,0.1577,,
Group,OKS004,Synovial,24129,24.129,3.34E+00,1.50E+03,0.161162,0.16,,
Group,OKS004,Muscle,433601,433.601,7.97E-01,1.04E+03,62.239361,61.7918,,
Group,OKS004,Adipose,255753,255.753,2.10E-01,2.37E+01,3.063739,3.0417,,
Group,OKS004,Skin,92356,92.356,6.49E-02,6.50E+00,0.275578,0.2736,,
Group,OKS004,TOTAL,1082035,1082.035,,,100.724251,100,,
,,,,,,,,,,
Power,OKS004,Sources: 3,Power per source: 37.5 mW (avg),Total input: 112.5 mW,Total absorbed: 100.7243 mW,Absorption ratio: 89.53%,,,,
,,,,,,,,,,
Section,Subject,Group,Mean Fluence Rate (mW/cm²),Dose @ 300s (J/cm²),Dose @ 600s (J/cm²),Dose @ 900s (J/cm²),Therapeutic Goal: (1-4 J/cm²),,,
Dose,OKS004,Bone,9.69E-01,0.2908,0.5816,0.8724,,,,
Dose,OKS004,Cartilage,3.17E+00,0.9516,1.9032,2.8548,,,,
